month,sample_size,nucleotide_diversity,country
2023-04-01,969,0.00349152248528764,New Zealand
2023-05-01,959,0.00372702453735097,New Zealand
2023-06-01,915,0.0040747109379364,New Zealand
2023-07-01,409,0.00418773834971929,New Zealand
2023-08-01,575,0.00386203650605551,New Zealand
2023-09-01,651,0.00385300030416168,New Zealand
2023-10-01,944,0.0035773655202668,New Zealand
2023-11-01,948,0.00368150914899123,New Zealand
2023-12-01,909,0.00607185812087817,New Zealand
2024-01-01,964,0.00381138146236734,New Zealand
2024-02-01,205,0.00119698998733679,New Zealand
2024-03-01,565,7.732956080016974e-4,New Zealand
2024-04-01,669,0.00107213009304531,New Zealand
2024-05-01,961,0.00117958522177345,New Zealand
2024-06-01,979,0.0010569690191866,New Zealand
2024-07-01,354,9.846168597494869e-4,New Zealand
2024-08-01,327,0.0010522637470562,New Zealand
2024-09-01,245,9.966345073780009e-4,New Zealand
2024-10-01,292,0.00120765556161397,New Zealand
2024-11-01,319,0.00141003592593996,New Zealand
2024-12-01,261,0.00158160846849645,New Zealand
2025-01-01,257,0.00153118798115891,New Zealand
2025-02-01,177,0.00173132293541853,New Zealand
2020-02-01,8,3.737758839799656e-4,Brazil
2020-03-01,230,2.082270154768182e-4,Brazil
2020-04-01,656,2.6844093358752846e-4,Brazil
2020-05-01,324,3.989898513607215e-4,Brazil
2020-06-01,640,3.8638993630552736e-4,Brazil
2020-07-01,753,5.120561804755358e-4,Brazil
2020-08-01,738,7.363977902260942e-4,Brazil
2020-09-01,762,6.022221190120867e-4,Brazil
2020-10-01,756,7.72249741427157e-4,Brazil
2020-11-01,768,6.971495180762484e-4,Brazil
2020-12-01,658,0.00101359358221815,Brazil
2021-01-01,768,0.00148292202430118,Brazil
2021-02-01,809,0.00170357740781907,Brazil
2021-03-01,821,0.00114590338678365,Brazil
2021-04-01,886,9.560291724334444e-4,Brazil
2021-05-01,860,8.75207275573262e-4,Brazil
2021-06-01,873,9.572903530329151e-4,Brazil
2021-07-01,798,0.00159706527885426,Brazil
2021-08-01,806,0.00261657443749209,Brazil
2021-09-01,721,0.00135557807564474,Brazil
2021-10-01,693,8.870172728970355e-4,Brazil
2021-11-01,715,9.526143234257704e-4,Brazil
2021-12-01,565,0.00408732939482659,Brazil
2022-01-01,507,9.515515238860312e-4,Brazil
2022-02-01,427,7.877877680035741e-4,Brazil
2022-03-01,520,0.0019392068652329601,Brazil
2022-04-01,755,0.00188942439758515,Brazil
2022-05-01,784,0.00155016392699071,Brazil
2022-06-01,750,0.00121922196503261,Brazil
2022-07-01,818,7.502683726295647e-4,Brazil
2022-08-01,756,9.840771267017898e-4,Brazil
2022-09-01,517,0.00109961781554036,Brazil
2022-10-01,741,0.00139016569777616,Brazil
2022-11-01,695,0.00117250199426211,Brazil
2022-12-01,667,0.00115410675296556,Brazil
2023-01-01,624,0.00208869639582204,Brazil
2023-02-01,513,0.0024430477733314,Brazil
2023-03-01,539,0.00120734327803968,Brazil
2023-04-01,402,0.00134274571576942,Brazil
2023-05-01,481,0.00126095213228191,Brazil
2023-06-01,356,0.00124197616298863,Brazil
2023-07-01,148,0.00171668227867078,Brazil
2023-08-01,188,0.00161109051045062,Brazil
2023-09-01,384,0.00182293696321269,Brazil
2023-10-01,412,0.00178415106537469,Brazil
2023-11-01,584,0.00565858798754282,Brazil
2023-12-01,714,0.00521888337187118,Brazil
2024-01-01,548,0.0034255127230301,Brazil
2024-02-01,506,0.00199918869992764,Brazil
2024-03-01,273,9.924683323559965e-4,Brazil
2024-04-01,123,0.00108400466354927,Brazil
2024-05-01,99,7.773350876173369e-4,Brazil
2024-06-01,116,9.361548918317404e-4,Brazil
2024-07-01,157,0.0011937504970107,Brazil
2024-08-01,218,0.00129598220037149,Brazil
2024-09-01,166,0.00130968286001881,Brazil
2024-10-01,120,0.00183215739359404,Brazil
2024-11-01,102,0.00196471986678108,Brazil
2024-12-01,261,0.00240216356344316,Brazil
2025-01-01,348,0.00241128590412582,Brazil
2025-02-01,258,0.0026663604772156,Brazil
2020-05-01,24,2.1996069788824863e-4,Argentina
2020-06-01,9,3.3459447467769246e-4,Argentina
2020-07-01,13,4.0254631064240193e-4,Argentina
2020-10-01,34,7.480847816982271e-4,Argentina
2020-11-01,29,9.267064157986044e-4,Argentina
2020-12-01,43,8.46935588273984e-4,Argentina
2021-01-01,31,0.00131370822730921,Argentina
2021-02-01,30,0.00217299678598264,Argentina
2021-03-01,136,0.00241298596643464,Argentina
2021-04-01,407,0.00281827145747016,Argentina
2021-05-01,382,0.00265456992276362,Argentina
2021-06-01,567,0.00246722463317555,Argentina
2021-07-01,495,0.00261386024408852,Argentina
2021-08-01,624,0.00286061166039357,Argentina
2021-09-01,365,0.00315220682129666,Argentina
2021-10-01,272,0.00326315609875221,Argentina
2021-11-01,423,0.0016528652745222,Argentina
2021-12-01,680,0.00397014924868623,Argentina
2022-01-01,220,0.00235418284763739,Argentina
2022-02-01,39,0.00149402347687472,Argentina
2022-03-01,16,0.00271772519101291,Argentina
2022-04-01,37,0.00203181120341441,Argentina
2022-05-01,340,0.00136169356656987,Argentina
2022-06-01,484,0.00108294507029179,Argentina
2022-07-01,597,7.600550668054746e-4,Argentina
2022-08-01,424,5.373550987745243e-4,Argentina
2022-09-01,126,5.518466139105407e-4,Argentina
2022-10-01,32,0.00120123114425112,Argentina
2022-11-01,82,0.00154673120014491,Argentina
2022-12-01,683,0.0010473878001506,Argentina
2023-01-01,378,0.00126170049742712,Argentina
2023-02-01,29,0.00259001077067524,Argentina
2023-03-01,41,0.00121585710906859,Argentina
2023-04-01,45,4.590801463984952e-4,Argentina
2023-05-01,54,0.00107786442057565,Argentina
2023-06-01,40,0.00114324928406715,Argentina
2023-07-01,73,0.00115423198027535,Argentina
2023-08-01,115,0.00137163598242225,Argentina
2023-09-01,81,0.00169826432728781,Argentina
2023-10-01,47,0.00202130412406467,Argentina
2023-11-01,46,0.00253287478007502,Argentina
2023-12-01,61,0.00472652091449029,Argentina
2024-01-01,187,0.00460445550425935,Argentina
2024-02-01,69,0.00342895320297811,Argentina
2024-03-01,23,4.343232644406866e-4,Argentina
2024-04-01,6,7.534086118444886e-4,Argentina
2024-07-01,5,8.408882897740395e-4,Argentina
2024-08-01,15,6.123156299386704e-4,Argentina
2024-09-01,51,7.688024257442332e-4,Argentina
2024-10-01,41,0.00133581660797409,Argentina
2024-11-01,24,0.00145188696462512,Argentina
2025-01-01,7,0.0020286520995027,Argentina
2025-02-01,7,0.00213052806757973,Argentina
2020-02-01,106,2.7221204029578464e-4,United Kingdom
2020-03-01,698,2.477794130714881e-4,United Kingdom
2020-04-01,808,2.424124001350698e-4,United Kingdom
2020-05-01,738,3.720815008354284e-4,United Kingdom
2020-06-01,774,3.27934801667878e-4,United Kingdom
2020-07-01,701,4.629468117763204e-4,United Kingdom
2020-08-01,832,5.954541430014346e-4,United Kingdom
2020-09-01,870,7.3521243381115e-4,United Kingdom
2020-10-01,860,7.61405945047781e-4,United Kingdom
2020-11-01,885,0.00100511552623962,United Kingdom
2020-12-01,866,0.00140440048725013,United Kingdom
2021-01-01,917,7.711914578746168e-4,United Kingdom
2021-02-01,936,4.929843598282798e-4,United Kingdom
2021-03-01,953,4.668115894676279e-4,United Kingdom
2021-04-01,919,6.573187836101321e-4,United Kingdom
2021-05-01,782,0.00218051874385177,United Kingdom
2021-06-01,554,7.484107410845287e-4,United Kingdom
2021-07-01,653,4.926946743985566e-4,United Kingdom
2021-08-01,730,5.330064160896395e-4,United Kingdom
2021-09-01,651,5.904763302624994e-4,United Kingdom
2021-10-01,810,6.97604879499251e-4,United Kingdom
2021-11-01,934,8.639605627813941e-4,United Kingdom
2021-12-01,417,0.0014811737774456399,United Kingdom
2022-01-01,565,9.07374710499388e-4,United Kingdom
2022-02-01,820,0.00195246194044385,United Kingdom
2022-03-01,902,9.524667879008264e-4,United Kingdom
2022-04-01,891,4.592660271074215e-4,United Kingdom
2022-05-01,855,6.616038486679005e-4,United Kingdom
2022-06-01,892,7.293062688725253e-4,United Kingdom
2022-07-01,878,4.1343673346138586e-4,United Kingdom
2022-08-01,871,4.151824010484812e-4,United Kingdom
2022-09-01,874,7.544294981006377e-4,United Kingdom
2022-10-01,779,0.00105148715115271,United Kingdom
2022-11-01,870,0.0016673146225499,United Kingdom
2022-12-01,852,0.00199610622164147,United Kingdom
2023-01-01,833,0.00253720942371485,United Kingdom
2023-02-01,670,0.00326348506547106,United Kingdom
2023-03-01,517,0.00302799584256368,United Kingdom
2023-04-01,304,0.0027809985067674,United Kingdom
2023-05-01,510,0.00171141089885774,United Kingdom
2023-06-01,742,0.00153576969272628,United Kingdom
2023-07-01,745,0.00169943505060112,United Kingdom
2023-08-01,729,0.00202346773002853,United Kingdom
2023-09-01,765,0.00222961627180187,United Kingdom
2023-10-01,740,0.00267114364194184,United Kingdom
2023-11-01,639,0.00447709574928689,United Kingdom
2023-12-01,434,0.00618587233707816,United Kingdom
2024-01-01,370,0.0038008801366278,United Kingdom
2024-02-01,474,0.00188675609457384,United Kingdom
2024-03-01,539,0.00128173473726444,United Kingdom
2024-04-01,306,0.00156350365782794,United Kingdom
2024-05-01,296,0.00132565131901327,United Kingdom
2024-06-01,214,0.00117985006264536,United Kingdom
2024-07-01,151,8.851792513507711e-4,United Kingdom
2024-08-01,215,9.095681428763356e-4,United Kingdom
2024-09-01,152,0.00106557067178776,United Kingdom
2024-10-01,191,8.671332076470907e-4,United Kingdom
2024-11-01,132,0.00111099056380681,United Kingdom
2024-12-01,122,0.00131658034398819,United Kingdom
2025-01-01,67,0.00163114272868046,United Kingdom
2025-02-01,68,0.00207431866712591,United Kingdom
